case,n_bus,model,cold_converged,cold_iters,cold_rt_s,warm_converged,warm_iters,warm_rt_s,iter_reduction_pct,rt_speedup,gnn_mape_vm_pct,v_violations_warm
case118,118,GraphSAGE,True,4,0.04553794860839844,True,5,0.03636813163757324,-25.0,1.2521387972911846,1.2368502616882324,1
case118,118,GAT,True,4,0.04553794860839844,True,5,0.034699201583862305,-25.0,1.3123630092277672,1.17160964012146,1
case118,118,GCN,True,4,0.03469681739807129,True,5,0.03452730178833008,-25.0,1.0049096106837547,1.1682344675064087,1
case118,118,GraphSAGE,True,4,0.03469681739807129,True,5,0.04959368705749512,-25.0,0.6996216546240343,1.2281371355056763,1
case118,118,GAT,True,4,0.03469681739807129,True,5,0.03374600410461426,-25.0,1.0281755816335902,1.1692900657653809,1
case118,118,GCN,True,4,0.03308701515197754,True,5,0.03443717956542969,-25.0,0.9607934090279701,1.1795035600662231,1
case118,118,GraphSAGE,True,4,0.03308701515197754,True,5,0.0366363525390625,-25.0,0.9031197938359017,1.2400999069213867,1
case118,118,GAT,True,4,0.03308701515197754,True,5,0.039655447006225586,-25.0,0.8343624306336314,1.1806023120880127,1
case30,30,GCN,True,3,0.023990154266357422,True,4,0.027984619140625,-33.33333333333333,0.8572621319520175,3.0385286808013916,0
case30,30,GraphSAGE,True,3,0.023990154266357422,True,4,0.025928974151611328,-33.33333333333333,0.9252257388233996,2.9248199462890625,0
case30,30,GAT,True,3,0.023990154266357422,True,4,0.030475616455078125,-33.33333333333333,0.7871917636750532,3.0362300872802734,0
case30,30,GCN,True,3,0.02348470687866211,True,4,0.026128053665161133,-33.33333333333333,0.8988310870616576,2.4111099243164062,0
case30,30,GraphSAGE,True,3,0.02348470687866211,True,4,0.02485823631286621,-33.33333333333333,0.9447454993621899,2.3150978088378906,0
case30,30,GAT,True,3,0.02348470687866211,True,4,0.023212432861328125,-33.33333333333333,1.0117296631059984,2.4091689586639404,0
case118,118,GCN,True,4,0.032536983489990234,True,5,0.05879354476928711,-25.0,0.5534108143618358,1.2049047946929932,1
case118,118,GraphSAGE,True,4,0.032536983489990234,True,5,0.05449271202087402,-25.0,0.5970887166989705,1.2616125345230103,1
case118,118,GAT,True,4,0.032536983489990234,True,5,0.052289485931396484,-25.0,0.6222471479769103,1.2060465812683105,1
case14,14,GCN,True,4,0.0422210693359375,True,4,0.037757158279418945,0.0,1.1182268809396017,1.5679681301116943,0
case14,14,GraphSAGE,True,4,0.0422210693359375,True,4,0.03854227066040039,0.0,1.095448415791362,1.6203051805496216,0
case14,14,GAT,True,4,0.0422210693359375,True,4,0.03989434242248535,0.0,1.058322227468042,1.5690261125564575,0
case30,30,GCN,True,3,0.04362034797668457,True,4,0.03804492950439453,-33.33333333333333,1.1465482666131903,2.802452325820923,0
case30,30,GraphSAGE,True,3,0.04362034797668457,True,4,0.04217410087585449,-33.33333333333333,1.0342923043003884,2.689375400543213,0
case30,30,GAT,True,3,0.04362034797668457,True,4,0.040630340576171875,-33.33333333333333,1.0735905079335273,2.800159454345703,0
case118,118,GCN,True,4,0.034171342849731445,True,5,0.03578019142150879,-25.0,0.9550352161947852,1.2006638050079346,1
case118,118,GraphSAGE,True,4,0.034171342849731445,True,5,0.03563547134399414,-25.0,0.9589137328890851,1.256856083869934,1
case118,118,GAT,True,4,0.034171342849731445,True,5,0.03391122817993164,-25.0,1.0076704585401521,1.201718807220459,1
case118,118,GCN,True,4,0.034983158111572266,True,5,0.0352783203125,-25.0,0.9916333261245674,1.1684820652008057,1
case118,118,GraphSAGE,True,4,0.034983158111572266,True,5,0.03526926040649414,-25.0,0.9918880551612249,1.2242261171340942,1
case118,118,GAT,True,4,0.034983158111572266,True,5,0.03432726860046387,-25.0,1.0191069530973267,1.1695376634597778,1
case118,118,GCN,True,4,0.04398345947265625,True,5,0.034337520599365234,-25.0,1.280915415700379,1.1918368339538574,1
case118,118,GraphSAGE,True,4,0.04398345947265625,True,5,0.035437822341918945,-25.0,1.241144533326157,1.2527258396148682,1
case118,118,GAT,True,4,0.04398345947265625,True,5,0.03655886650085449,-25.0,1.2030859729096968,1.1928919553756714,1
case14,14,GCN,True,4,0.029921293258666992,True,4,0.026825428009033203,0.0,1.1154078603551558,1.348136305809021,0
case14,14,GraphSAGE,True,4,0.029921293258666992,True,4,0.026404142379760742,0.0,1.1332045111831472,1.400752305984497,0
case14,14,GAT,True,4,0.029921293258666992,True,4,0.026825904846191406,0.0,1.1153880337018736,1.3491997718811035,0
case14,14,GCN,True,4,0.031414031982421875,True,4,0.02852630615234375,0.0,1.1012302754747259,1.4013123512268066,0
case14,14,GraphSAGE,True,4,0.031414031982421875,True,4,0.03863263130187988,0.0,0.8131476144337404,1.4538607597351074,0
case14,14,GAT,True,4,0.031414031982421875,True,4,0.02637934684753418,0.0,1.190857080881755,1.402374505996704,0
case118,118,GCN,True,4,0.03299379348754883,True,5,0.03420424461364746,-25.0,0.9646110843910973,1.2298221588134766,1
case118,118,GraphSAGE,True,4,0.03299379348754883,True,5,0.03272271156311035,-25.0,1.0082842133640317,1.284833312034607,1
case118,118,GAT,True,4,0.03299379348754883,True,5,0.03241372108459473,-25.0,1.017895890491567,1.2308330535888672,1
case118,118,GCN,True,4,0.051589012145996094,True,5,0.050086021423339844,-25.0,1.0300081875130904,1.1411558389663696,1
case118,118,GraphSAGE,True,4,0.051589012145996094,True,5,0.053403615951538086,-25.0,0.966020956199133,1.1970564126968384,1
case118,118,GAT,True,4,0.051589012145996094,True,5,0.4152977466583252,-25.0,0.12422174827844548,1.1422122716903687,1
case118,118,GCN,True,4,0.05383419990539551,True,5,0.05174112319946289,-25.0,1.0404528656609129,1.1721493005752563,1
case118,118,GraphSAGE,True,4,0.05383419990539551,True,5,0.05484747886657715,-25.0,0.9815255143514151,1.2259196043014526,1
case118,118,GAT,True,4,0.05383419990539551,True,5,0.05873727798461914,-25.0,0.9165252758136401,1.1731617450714111,1
case30,30,GCN,True,3,0.023101329803466797,True,4,0.02400827407836914,-33.33333333333333,0.9622236787225168,2.969615936279297,0
case30,30,GraphSAGE,True,3,0.023101329803466797,True,4,0.02310800552368164,-33.33333333333333,0.9997111079011989,2.855994701385498,0
case30,30,GAT,True,3,0.023101329803466797,True,4,0.023487329483032227,-33.33333333333333,0.9835656207810137,2.9673190116882324,0
case14,14,GCN,True,4,0.029596567153930664,True,4,0.028809785842895508,0.0,1.0273095161250279,1.4872322082519531,0
case14,14,GraphSAGE,True,4,0.029596567153930664,True,4,0.028216123580932617,0.0,1.0489239270957438,1.5396720170974731,0
case14,14,GAT,True,4,0.029596567153930664,True,4,0.031037330627441406,0.0,0.953579658933784,1.4882924556732178,0
case30,30,GCN,True,3,0.023353099822998047,True,4,0.02733755111694336,-33.33333333333333,0.8542498822626502,3.3751840591430664,0
case30,30,GraphSAGE,True,3,0.023353099822998047,True,4,0.024562835693359375,-33.33333333333333,0.9507493399596211,3.259754180908203,0
case30,30,GAT,True,3,0.023353099822998047,True,4,0.02354145050048828,-33.33333333333333,0.9919991897913712,3.3727056980133057,0
case118,118,GCN,True,4,0.033109426498413086,True,5,0.03536272048950195,-25.0,0.9362805248041424,1.142457365989685,1
case118,118,GraphSAGE,True,4,0.033109426498413086,True,5,0.031606435775756836,-25.0,1.0475533126645395,1.1953424215316772,1
case118,118,GAT,True,4,0.033109426498413086,True,5,0.03244280815124512,-25.0,1.020547492191806,1.1433836221694946,1
case14,14,GCN,True,4,0.03004765510559082,True,4,0.026227951049804688,0.0,1.1456348629190605,1.4917032718658447,0
case14,14,GraphSAGE,True,4,0.03004765510559082,True,4,0.027311086654663086,0.0,1.1001999109566918,1.5441370010375977,0
case14,14,GAT,True,4,0.03004765510559082,True,4,0.02699136734008789,0.0,1.1132320466389896,1.4927631616592407,0
case118,118,GCN,True,4,0.03381657600402832,True,5,0.031461238861083984,-25.0,1.0748647296867184,1.1104559898376465,1
case118,118,GraphSAGE,True,4,0.03381657600402832,True,5,0.035125017166137695,-25.0,0.9627490242660784,1.1680268049240112,1
case118,118,GAT,True,4,0.03381657600402832,True,5,0.035047054290771484,-25.0,0.9648906787847453,1.111547827720642,1
case14,14,GCN,True,4,0.029102563858032227,True,4,0.026283979415893555,0.0,1.1072358335676642,1.3446780443191528,0
case14,14,GraphSAGE,True,4,0.029102563858032227,True,4,0.028018712997436523,0.0,1.038683106561492,1.3972983360290527,0
case14,14,GAT,True,4,0.029102563858032227,True,4,0.025997161865234375,0.0,1.119451577402788,1.345741868019104,0
case118,118,GCN,True,4,0.04747366905212402,True,5,0.05146312713623047,-25.0,0.9224792913663066,1.1801402568817139,1
case118,118,GraphSAGE,True,4,0.04747366905212402,True,5,0.050308942794799805,-25.0,0.9436427484823066,1.2341645956039429,1
case118,118,GAT,True,4,0.04747366905212402,True,5,0.05305051803588867,-25.0,0.8948766347579884,1.1811957359313965,1
case118,118,GCN,True,4,0.05354619026184082,True,5,0.05939936637878418,-25.0,0.901460630411136,1.1785517930984497,1
case118,118,GraphSAGE,True,4,0.05354619026184082,True,5,0.06837034225463867,-25.0,0.7831786195016146,1.2459644079208374,1
